Year,allcrush,winecrush,yieldall,yieldwine,fire,temp,temp5,maxtemp,maxtemp5,mintemp,mintemp5,precip,precip5,cdd,cdd5,hdd,hdd5,pdsi,pdsi5,phdi,phdi5,pmdi,pmdi5,palmerzscore,palmerzscore5
2016,4.23,4.03,8,7.2,560413,60.1,59.4,72.5,72,47.7,46.6,25.73,21.43,1024,1126,2438,3175,-1.38,-1.84,-1.92,-2.35,-0.96,-1.55,0.08,-0.03
2015,3.87,3.7,7.93,6.62,773415,60.8,59.7,73.4,72.5,48.1,46.9,15.05,13.27,1158,1193,2342,3099,-4.79,-6.39,-4.79,-6.39,-4.76,-6.31,-1.39,-1.67
2014,4.14,3.89,8.02,6.89,535318,61.4,60.9,74.2,73.8,48.7,47.9,19.9,14.67,1176,1266,2092,2753,-5.76,-6.75,-5.76,-6.75,-5.67,-6.72,-1.69,-2.25
2013,4.7,4.24,8.85,7.51,601625,59.3,58.7,72.6,72,46.1,45.3,7.93,6.29,965,1104,2707,3384,-2.84,-3.94,-2.84,-3.94,-2.8,-3.93,-1.86,-1.89
2012,4.39,4.02,8.01,7.31,136280,59.5,58.8,72.5,71.8,46.5,45.7,23.45,18.58,1021,1151,2741,3403,-1.6,-2.81,-1.75,-2.81,-1.33,-2.7,-0.33,-0.95
2011,3.87,3.35,7.86,6.2,51889,57.4,56.4,70,68.9,44.9,43.8,18.79,17.65,774,887,3182,3999,1.71,2.12,2.6,3.15,2.11,2.76,0.24,0.4
2010,3.99,3.59,8.06,6.84,23191,57.7,56.8,69.8,68.9,45.7,44.6,31.18,29.8,703,865,3086,3833,1.47,1.37,0.71,0.96,0.95,1.08,1.16,1.22
2009,4.1,3.7,8.05,7.33,73098,58.8,58,71.7,70.9,45.9,45.1,17.05,16.88,967,1114,2879,3630,-3.57,-2.34,-3.57,-2.9,-3.46,-2.69,-0.88,-0.48
2008,3.67,3.06,8.19,6.15,347810,58.9,58.3,71.9,71.3,46,45.3,17.85,15.95,1017,1153,2861,3585,-3.67,-3.78,-3.67,-3.78,-3.48,-3.61,-1.19,-1.08
2007,3.67,3.24,7.9,6.85,425238,58.9,58,72,71.2,45.8,44.8,13.84,11.36,889,999,2876,3524,-3.77,-3.94,-3.77,-3.94,-3.72,-3.93,-1.55,-1.74
2006,3.49,3.14,7.18,6.62,222896,58.6,57.6,71.3,70.4,46,44.9,23.61,22.42,1012,1117,3014,3796,0.46,1.14,2.06,2.26,1.43,1.67,-0.06,0.17
2005,4.33,3.76,8.7,7.98,74004,58.6,57.9,70.8,70.2,46.4,45.6,30.1,26.56,812,958,2815,3529,3.08,3.35,3.08,3.35,2.94,3.18,1.34,1.16
2004,3.62,2.77,7.03,5.95,168134,58.9,58,71.4,70.6,46.3,45.3,21.76,18.25,857,986,2842,3516,-0.99,-1.08,-1.65,-1.6,-1.2,-1.14,-0.57,-0.6
2003,3.37,2.86,7.16,6.07,404328,59.4,58.6,71.8,71.2,47,46,21.63,17.22,1057,1212,2833,3522,0.25,-0.01,-0.21,-0.12,0.04,0.11,-0.08,-0.05
2002,3.79,3.1,8.17,6.48,112810,58.8,58,72,71.1,45.7,44.8,18.68,16.05,829,1020,2948,3566,-2.19,-1.91,-2.72,-1.91,-2.44,-1.61,-0.85,-0.58
2001,3.37,3.01,7.45,6.36,90985,59.1,58.5,71.7,71.3,46.5,45.8,23.02,22.35,933,1169,2965,3490,-2.42,-1.71,-2.42,-1.71,-2.21,-1.44,-0.63,-0.34
2000,3.95,3.32,8.54,7.34,72718,58.8,57.8,71.2,70.4,46.3,45.3,21.43,21.64,832,919,2832,3503,-0.52,0.1,-1.12,0.12,-0.61,-0.01,-0.38,0.11
1999,3.19,2.62,7.02,6.28,285272,58,57,70.8,70,45.1,44,17.63,14.97,699,802,3053,3694,-0.17,-0.33,2.04,1.75,1.26,0.98,-0.45,-0.44
1998,3.17,2.53,7.12,6.68,NA,56.7,55.6,68.2,67.2,45.2,44,36.41,32.6,780,837,3407,4238,4.64,3.44,5.05,4.55,4.96,4.51,2.42,2.31
1997,3.89,2.89,9.17,7.86,NA,59.1,58.4,71.5,71,46.8,45.8,20.6,17.4,960,977,2664,3348,-0.87,-1.8,-0.66,-1.12,-0.93,-1.6,-0.55,-0.93
1996,2.91,2.17,7.16,6.36,NA,59.6,58.7,71.9,71.1,47.2,46.2,32.51,31.67,941,1077,2648,3368,2.46,2.69,2.46,2.69,1.81,2.04,1.04,1.21
1995,3.17,2.53,8.05,6.94,NA,58.9,58,71,70.2,46.9,45.8,35.2,31.18,814,837,2732,3358,4.18,4.19,4.18,4.19,3.52,3.6,1.72,1.71
1994,3.19,2.62,7.84,7.03,NA,58,57,70.6,69.7,45.4,44.3,17.54,17.28,862,980,3156,3864,-1.94,-0.62,-2.28,-1.42,-2.07,-1.2,-0.74,-0.32
1993,3.19,2.62,8.47,7.68,NA,57.7,57,69.8,69.3,45.5,44.7,26.7,23.47,724,770,2913,3658,1.62,0.07,2.21,1.36,1.88,0.93,0.6,0.23
1992,3.17,2.53,8.64,7.15,NA,59.3,58.5,71.5,70.8,47,46.3,23.23,19.37,961,1048,2715,3393,-2.42,-2.45,-2.64,-2.66,-2.24,-2.23,-0.66,-0.79
1991,3.19,2.62,8.08,7.44,NA,58.1,57.5,70.8,70.2,45.5,44.8,19.79,19.28,738,935,3024,3664,-2.55,-2.46,-2.55,-2.46,-0.83,-0.79,-0.44,-0.33
1990,2.58,2.14,8.11,7.54,NA,58,57.2,70.9,70.3,45,44,13.99,11.97,864,931,3068,3753,-2.99,-2.94,-2.99,-2.94,-2.82,-2.91,-1.34,-1.41
1989,2.72,2.14,8.4,7.55,NA,58.1,57,71.1,70.2,45.1,43.9,14.95,12.38,724,807,2931,3687,-1.41,-1.33,-1.57,-1.58,-1.35,-1.49,-0.75,-0.7
1988,2.84,2.12,8.74,7.34,NA,58.7,58,71.7,71.1,45.8,44.9,17.1,15.18,798,1009,2891,3536,-2.12,-2.16,-2.12,-2.16,-1.45,-1.63,-0.48,-0.5
1987,2.49,1.89,7.19,6.41,NA,58.3,57.4,70.8,70,45.8,44.7,19.71,16.87,722,866,3019,3621,-2.99,-2.72,-2.99,-2.72,-2.92,-2.68,-0.99,-0.86
1986,2.79,2.05,7.68,6.75,NA,58.9,57.9,71.2,70.5,46.5,45.4,24.25,21.49,684,805,2719,3362,-0.11,-0.12,0.42,0.97,0.08,0.32,-0.06,-0.12
1985,2.84,2.07,7.98,6.67,NA,57.3,56.3,69.9,68.8,44.7,43.7,14.7,15.29,786,898,3272,4064,-1.21,-0.94,-1.53,-1.18,-1.64,-1.18,-0.99,-0.6
1984,2.58,1.83,6.99,6.17,NA,58.2,57.6,70.4,70.2,46,45,18.32,14.36,1049,1112,3053,3799,-0.66,-1.52,2.51,2.17,0.41,0,-0.27,-0.52
